nome;pop;ibge
 Rio Claro;198330;3543907
 Rio das Pedras;33493;3544004
 Rio Grande da Serra;48648;3544103
 Riolândia;11256;3544202
 Rosana;18588;3544251
 Roseira;10439;3544301
 Rubiácea;3034;3544400
 Rubinéia;2967;3544509
 Sabino;5422;3544608
 Sagres;2363;3544707
 Sales;5942;3544806
 Sales Oliveira;11342;3544905
 Salesópolis;16590;3545001
 Salmourão;5053;3545100
 Saltinho;7721;3545159
 Salto;113416;3545209
 Salto de Pirapora;43433;3545308
 Salto Grande;9029;3545407
 Sandovalina;4108;3545506
 Santa Adélia;14787;3545605
 Santa Albertina;5685;3545704
 Santa Bárbara d'Oeste;187109;3545803
 Santa Branca;14099;3546009
 Santa Clara d'Oeste;2024;3546108
 Santa Cruz da Conceição;4280;3546207
 Santa Cruz da Esperança;2054;3546256
 Santa Cruz das Palmeiras;32987;3546306
 Santa Cruz do Rio Pardo;45671;3546405
 Santa Ernestina;5532;3546504
 Santa Fé do Sul;30503;3546603
 Santa Gertrudes;25266;3546702
 Santa Isabel;54191;3546801
 Santa Lucia;8503;3546900
 Santa Maria da Serra;5992;3547007
 Santa Mercedes;2814;3547106
 Santana da Ponte Pensa;1532;3547205
 Santana de Parnaíba;132317;3547304
 Santa Rita d'Oeste;2432;3547403
 Santa Rita do Passa Quatro;26408;3547502
 Santa Rosa do Viterbo;25264;3547601
 Santa Salete;1443;3547650
 Santo Anastácio;20179;3547700
 Santo André;690551;3547809
 Santo Antonio da Alegria;6572;3547908
 Santo Antonio de Posse;22424;3548005
 Santo Antonio do Aracanguá;8135;3548054
 Santo Antonio do Jardim;5842;3548104
 Santo Antonio do Pinhal;6596;3548203
 Santo Expedito;2939;3548302
 Santópolis do Aguapeí;4593;3548401
 Santos;426646;3548500
 São Bento do Sapucaí;10510;3548609
 São Bernardo do Campo;803771;3548708
 São Caetano do Sul;150988;3548807
 São Carlos;238834;3548906
 São Francisco;2700;3549003
 São João da Boa Vista;86679;3549102
 São João das Duas Pontes;2492;3549201
 São João de Iracema;1838;3549250
 São João do Pau d'Alho;2005;3549300
 São Joaquim da Barra;49569;3549409
 São José da Bela Vista;8658;3549508
 São José do Barreiro;4069;3549607
 São José do Rio Pardo;52960;3549706
 São José do Rio Preto;440796;3549805
 São José dos Campos;695163;3549904
 São Lourenço da Serra;15246;3549953
 São Luís do Paraitinga;10531;3550001
 São Manuel;39326;3550100
 São Miguel Arcanjo;31872;3550209
 São Paulo;11753659;3550308
 São Pedro;33725;3550407
 São Pedro do Turvo;7329;3550506
 São Roque;85844;3550605
 São Sebastião;84569;3550704
 São Sebastião da Grama;11952;3550803
 São Simão;14742;3550902
 São Vicente;352794;3551009
 Sarapuí;9890;3551108
 Sarutaiá;3639;3551207
 Sebastianópolis do Sul;3250;3551306
 Serra Azul;12070;3551405
 Serrana;43352;3551504
 Serra Negra;27255;3551603
 Sertãozinho;120116;3551702
 Sete Barras;12654;3551801
 Severínia;16806;3551900
 Silveiras;6121;3552007
 Socorro;38407;3552106
 Sorocaba;644397;3552205
 Sud Mennucci;7664;3552304
 Sumaré;275147;3552403
 Suzano;285257;3552502
 Suzanápolis;3842;3552551
 Tabapuã;11803;3552601
 Tabatinga;15658;3552700
 Taboão da Serra;275988;3552809
 Taciba;5987;3552908
 Taguaí;12834;3553005
 Taiaçu;6009;3553104
 Taiúva;6302;3553203
 Tambaú;22712;3553302
 Tanabi;24926;3553401
 Tapiraí;7732;3553500
 Tapiratiba;12627;3553609
 Taquaral;2743;3553658
 Taquaritinga;54381;3553708
 Taquarituba;23029;3553807
 Taquarivaí;5622;3553856
 Tarabaí;7135;3553906
 Tarumã;14428;3553955
 Tatuí;117558;3554003
 Taubaté;301856;3554102
 Tejupá;4707;3554201
 Teodoro Sampaio;22219;3554300
 Terra Roxa;8999;3554409
 Tietê;40244;3554508
 Timburi;2572;3554607
 Torre de Pedra;2307;3554656
 Torrinha;9635;3554706
 Trabiju;1670;3554755
 Tremembé;45066;3554805
 Três Fronteiras;5525;3554904
 Tuiuti;6439;3554953
 Tupã;62950;3555000
 Tupi Paulista;14829;3555109
 Turiúba;1917;3555208
 Turmalina;1836;3555307
 Ubarana;5914;3555356
 Ubatuba;86870;3555406
 Ubirajara;4616;3555505
 Uchôa;9645;3555604
 União Paulista;1712;3555703
 Urânia;8660;3555802
 Uru;1213;3555901
